ghost_job,vagueness_score,salary_present,days_opened,post_on_website,hiring_timeline,hiring_manager_listed,repost_frequency_year
True,7.21,False,38.8,False,True,True,2
False,0.53,True,11.5,True,False,True,10
True,7.1,False,95.3,False,False,False,2
False,1.77,True,6.2,True,True,False,3
False,8.45,True,29.9,False,False,True,2
False,9.96,True,0.6,True,True,False,11
False,7.6,True,6.7,True,False,True,15
False,1.96,True,33.1,True,True,True,3
False,2.09,False,8.9,True,True,True,2
False,1.37,True,93.1,True,True,True,20
False,1.93,True,51.8,False,True,False,15
False,7.97,False,21.0,True,True,True,15
False,2.79,True,10.8,True,True,True,1
False,2.08,True,30.9,True,True,True,20
True,9.48,False,83.7,False,False,False,2
False,2.41,True,7.8,True,True,True,3
True,0.98,False,85.0,True,False,False,2
True,8.01,True,93.1,False,False,False,1
True,7.02,False,27.4,False,True,True,1
False,0.41,True,26.5,True,True,False,14
False,0.51,True,30.3,True,True,False,8
True,9.59,False,47.7,False,True,True,2
True,0.53,False,74.5,False,True,False,2
False,0.1,True,7.3,True,True,True,3
False,0.14,False,84.1,True,True,False,2
False,1.08,True,32.3,True,False,False,9
False,2.52,False,11.2,True,False,True,18
False,8.5,True,34.6,False,True,False,11
False,8.59,False,32.9,True,True,True,20
False,2.1,True,5.5,False,False,True,12
False,2.06,True,15.7,True,True,False,10
False,0.85,True,23.6,True,True,False,17
False,0.02,True,7.2,True,False,False,10
True,7.23,False,80.9,False,False,False,1
True,9.68,True,12.9,True,False,False,1
False,1.49,False,6.3,True,True,False,2
False,2.77,True,0.5,True,True,True,10
True,7.89,False,50.5,False,False,True,7
False,0.9,True,26.2,True,True,True,12
False,0.04,True,92.0,False,True,False,12
True,7.76,False,7.8,False,True,False,1
False,7.63,True,72.3,True,True,True,5
False,2.58,True,9.1,False,True,True,17
True,7.43,False,66.2,False,False,False,19
True,2.65,False,97.8,False,True,True,2
False,0.93,True,2.7,True,True,True,15
False,2.47,True,10.8,True,True,False,13
True,8.88,False,85.7,False,False,True,2
True,9.74,False,55.0,False,False,False,1
True,7.1,False,59.0,True,False,False,1
True,9.51,False,64.3,False,True,False,2
True,8.29,False,73.3,False,True,False,2
True,8.66,True,28.1,False,False,True,2
False,2.07,True,30.1,True,False,False,2
True,9.57,True,94.3,True,False,False,2
False,2.54,True,20.8,True,True,True,1
True,8.8,True,93.2,False,True,True,2
False,0.12,True,24.0,True,True,True,1
False,8.61,True,11.8,True,False,True,4
False,0.8,True,17.8,False,True,True,1
False,0.3,False,25.9,True,True,True,19
False,0.2,False,17.3,True,True,True,5
False,0.07,False,19.6,True,False,False,7
True,8.97,False,19.6,False,False,False,1
False,1.31,False,0.0,True,False,False,8
True,7.53,False,77.9,True,False,True,2
False,0.64,True,32.7,False,True,True,6
False,1.11,False,22.5,True,True,False,19
False,1.16,True,47.9,False,True,False,3
False,8.59,True,15.7,True,True,True,1
True,8.17,True,5.6,False,False,False,2
False,2.27,False,27.0,False,True,True,6
False,2.43,False,75.9,True,True,False,6
True,9.55,False,52.9,False,True,True,2
False,2.06,False,5.1,True,True,True,10
True,9.25,True,54.5,False,False,True,9
False,0.41,True,88.1,True,True,True,2
False,0.89,True,66.9,True,True,False,2
True,8.95,False,46.3,False,False,False,19
True,7.6,False,62.2,False,False,False,2
True,9.27,False,49.9,True,False,False,2
False,8.39,True,0.8,True,False,False,4
False,8.93,True,27.7,False,True,False,17
False,8.58,True,6.0,True,True,True,19
True,2.63,False,26.4,False,True,False,10
False,0.92,False,10.0,True,True,False,4
False,1.67,True,16.8,True,True,True,8
False,2.3,True,75.7,True,True,True,8
True,1.34,False,35.9,False,False,False,1
False,0.99,True,69.2,True,True,False,2
True,8.39,False,81.2,False,True,True,1
True,8.24,False,91.7,False,False,False,1
False,1.97,False,10.5,True,True,True,6
False,2.61,False,36.2,True,True,False,5
True,2.57,False,57.0,False,False,False,2
True,8.98,False,17.3,False,False,False,2
True,8.7,False,68.5,False,False,True,2
False,0.05,True,2.6,True,False,False,12
True,2.69,False,96.1,False,False,True,1
False,9.7,True,3.7,True,True,False,18
True,8.17,False,90.5,False,False,False,1
True,7.24,False,65.8,True,True,True,6
True,8.06,False,73.9,False,True,False,1
True,1.06,False,47.1,False,False,False,13
False,2.85,True,3.0,True,False,True,17
False,2.78,True,63.0,False,False,False,4
True,9.21,False,59.7,False,False,True,2
False,1.95,True,11.2,True,True,True,17
False,1.12,True,15.1,True,False,True,6
True,9.87,False,79.6,False,False,False,1
False,9.32,True,91.0,True,False,True,5
False,1.9,True,6.2,True,True,False,2
True,8.88,False,40.9,True,False,False,6
False,1.71,True,6.2,True,True,True,2
False,1.77,True,21.6,True,True,False,11
False,1.41,True,18.6,True,True,True,14
True,0.21,False,11.1,False,True,False,2
False,1.71,True,83.7,True,False,True,2
True,8.92,False,32.6,False,False,True,1
True,7.87,False,52.6,False,False,True,17
True,9.73,True,90.3,False,False,True,1
True,9.04,True,64.9,False,False,False,2
True,2.57,False,93.5,False,True,False,1
True,8.12,False,77.9,False,False,True,2
False,1.93,True,32.8,False,False,True,5
True,7.21,False,51.0,False,True,True,15
True,8.78,False,71.7,False,True,False,1
True,2.44,False,1.3,False,True,False,2
False,8.71,True,6.2,True,True,False,2
True,7.52,True,49.4,False,False,True,2
True,8.97,True,55.5,True,False,True,2
False,0.81,True,9.8,True,True,True,4
False,1.72,True,18.1,True,True,True,5
False,0.46,True,23.8,True,True,False,20
False,2.43,True,33.0,False,True,True,2
True,9.37,False,92.8,False,False,True,1
True,7.62,False,86.5,False,True,True,1
True,7.58,True,76.3,False,False,True,1
False,0.79,True,15.9,True,True,False,18
False,9.75,True,17.4,True,False,True,11
True,2.88,False,73.7,False,False,False,2
True,7.56,False,38.8,True,False,True,10
False,1.56,True,9.6,True,True,False,1
True,8.41,False,85.4,False,False,True,2
False,0.49,True,44.0,True,True,False,1
False,7.87,True,31.6,True,True,False,19
True,2.05,False,52.0,False,False,False,2
False,1.22,False,61.5,True,True,True,2
False,2.32,True,22.1,True,True,True,19
False,2.47,True,12.2,True,True,True,1
False,1.09,True,22.9,True,True,False,18
True,9.02,True,64.0,False,False,False,1
True,1.08,True,81.6,False,False,True,2
True,1.22,False,8.5,False,True,True,2
True,9.7,True,89.6,False,False,False,2
False,1.97,False,39.3,True,True,False,6
True,8.08,False,52.2,False,False,True,1
True,8.18,True,36.9,False,False,False,1
True,8.81,False,66.1,True,False,True,1
False,2.62,True,7.6,True,False,False,2
True,7.02,True,85.7,False,True,False,2
True,7.03,False,37.4,False,False,True,2
True,9.72,False,34.3,False,True,False,1
True,9.19,False,94.8,True,False,True,2
True,9.94,True,35.3,True,False,False,2
False,1.12,True,8.8,True,False,True,14
True,9.5,True,39.8,False,True,False,2
False,1.38,True,6.5,False,True,True,15
True,9.9,False,67.5,True,True,False,2
True,7.01,False,30.2,False,False,False,1
True,8.53,False,1.9,False,False,True,1
False,0.03,True,49.8,True,True,True,6
False,9.78,True,11.0,True,True,False,1
False,1.47,True,25.7,True,True,True,19
True,7.37,False,98.6,False,True,False,2
False,1.41,False,28.8,True,False,False,10
False,0.93,True,13.3,True,True,False,5
True,8.4,False,96.8,False,False,True,2
False,1.19,False,30.5,True,False,True,15
True,8.9,False,43.1,False,True,False,2
False,2.48,True,21.0,True,True,True,5
True,2.4,True,74.4,False,False,True,1
False,1.79,False,5.9,True,True,True,2
True,8.69,False,78.1,False,False,False,2
False,0.93,False,10.6,True,True,True,17
True,9.25,False,41.4,False,False,False,1
True,9.85,False,64.8,True,False,False,1
True,9.86,True,24.8,True,False,True,1
True,7.18,False,71.8,False,False,False,1
True,7.31,False,61.6,False,True,False,2
False,0.41,False,20.2,True,True,False,14
False,0.33,True,87.8,False,False,False,1
False,2.94,True,32.8,True,False,True,4
False,2.37,True,52.3,True,True,True,19
True,8.0,False,82.7,False,False,True,2
False,1.66,True,9.6,False,True,True,17
True,9.67,False,86.8,False,False,False,2
True,8.0,False,29.9,False,False,True,1
False,8.86,False,29.8,True,True,True,5
False,3.0,True,84.1,True,True,False,12
False,8.74,True,20.3,False,True,False,2
True,9.16,True,40.4,False,False,False,13
True,0.27,False,23.9,True,True,True,8
False,0.98,True,10.2,True,True,True,20
True,9.42,False,99.3,True,False,False,2
False,8.8,True,8.9,True,True,False,3
True,9.51,False,31.4,False,False,False,2
True,8.87,False,65.1,False,False,False,1
False,8.53,True,31.8,True,True,True,2
True,7.67,False,92.0,False,True,False,1
False,1.66,False,3.9,True,True,False,10
True,7.86,False,64.1,False,False,False,1
True,8.28,False,34.0,False,True,False,2
False,0.73,True,12.2,False,False,False,1
False,2.19,True,50.3,False,True,False,2
False,1.99,True,49.6,True,True,True,16
True,9.89,False,64.8,False,False,False,15
False,1.54,True,23.2,True,True,True,7
True,9.65,True,45.1,False,False,True,2
False,1.16,True,15.4,False,True,True,2
False,2.12,False,76.7,True,True,False,17
True,9.57,False,1.5,False,False,False,16
False,2.09,True,17.4,True,True,True,2
True,1.15,False,64.4,True,False,False,13
True,9.24,True,96.0,False,False,True,1
True,1.59,True,48.3,False,False,True,2
True,8.02,False,78.3,True,False,True,1
True,9.48,False,22.6,True,True,False,16
False,0.98,True,26.6,True,False,False,20
True,9.06,False,55.1,True,False,True,1
True,1.48,False,11.8,False,False,False,2
False,1.69,True,5.2,True,True,True,7
True,0.29,False,70.6,False,False,False,1
False,2.87,True,24.9,True,True,True,5
False,1.7,False,8.7,False,False,True,17
True,7.17,False,6.6,False,False,False,2
False,1.39,True,19.2,False,True,True,20
True,8.82,False,83.8,False,False,False,2
False,2.09,True,12.0,True,True,False,11
True,9.88,False,63.9,False,False,False,1
False,1.12,True,3.6,False,True,True,4
True,9.45,False,84.9,False,False,True,20
False,2.07,True,6.4,True,True,True,8
True,8.89,False,51.6,False,True,True,2
True,8.51,False,85.5,False,False,False,2
True,7.23,False,98.1,False,True,True,1
True,8.07,True,88.5,True,True,False,1
True,8.15,False,32.2,False,False,False,2
False,1.47,False,9.4,True,False,True,2
False,2.17,True,32.9,True,True,False,13
False,0.69,True,77.2,False,True,True,18
False,1.48,True,25.2,True,False,False,20
False,0.69,False,77.5,True,False,True,7
False,1.71,True,91.4,True,True,True,3
True,9.59,False,45.3,False,False,False,1
True,0.37,False,60.1,False,False,True,1
False,0.07,True,6.7,True,True,True,16
True,8.64,True,68.6,False,False,False,1
True,8.81,False,68.0,False,False,False,2
True,7.43,False,9.8,False,False,False,2
False,1.33,True,97.8,True,False,False,3
True,9.69,False,80.9,False,False,False,4
False,7.61,True,94.7,True,True,True,1
False,2.48,True,14.9,True,True,True,5
False,1.97,True,15.3,True,True,False,1
False,1.29,False,33.7,True,True,False,17
False,1.88,False,21.2,True,True,True,13
True,2.93,False,40.6,False,False,False,19
False,2.46,True,32.3,True,False,False,3
True,7.75,True,82.8,True,False,True,19
False,8.61,True,25.3,False,False,True,17
False,8.72,True,19.7,True,True,False,8
True,0.9,False,80.1,False,True,True,2
False,8.08,True,17.8,True,False,False,6
False,8.74,False,27.5,True,True,True,8
True,9.6,False,17.1,False,True,True,1
False,2.28,False,16.9,True,True,True,12
True,0.97,False,83.2,True,False,False,1
False,7.3,True,32.6,False,False,True,10
True,7.96,False,41.2,False,False,False,1
False,7.42,True,7.3,True,False,False,3
True,9.37,False,72.0,False,True,False,19
False,1.61,True,28.1,True,True,True,2
True,9.42,False,50.2,False,True,True,1
True,9.53,False,55.2,False,False,False,1
False,7.52,True,5.1,True,True,False,16
False,1.8,False,4.2,False,False,True,16
True,7.01,True,42.9,True,False,False,9
True,8.95,False,84.6,False,False,True,2
False,1.38,False,18.3,False,True,True,15
True,7.09,True,92.1,False,False,True,13
True,9.63,True,56.1,True,False,False,2
False,7.09,True,25.4,True,True,True,4
False,0.81,False,26.9,True,True,False,9
True,9.17,False,38.3,False,False,False,2
True,7.69,False,21.8,False,False,False,2
True,8.7,False,97.1,True,True,True,11
True,7.79,True,66.3,False,False,False,5
True,2.9,True,76.3,False,False,False,7
True,8.74,False,90.6,False,False,True,2
True,7.46,True,60.9,False,False,False,5
False,8.19,True,77.8,True,True,False,1
True,9.36,True,94.7,True,True,False,1
False,1.03,True,11.1,True,True,False,5
False,2.28,True,20.5,True,False,False,3
True,9.67,False,23.0,False,False,False,1
False,2.36,True,7.8,True,True,False,1
True,8.33,False,95.7,False,False,True,1
False,8.72,True,28.9,True,True,True,1
True,0.61,False,41.8,True,False,True,2
True,8.52,False,47.5,False,False,False,1
False,1.72,True,22.8,True,True,True,14
True,7.76,False,75.7,True,False,False,1
True,9.04,False,82.7,False,True,False,1
True,7.62,False,76.6,False,True,False,1
False,0.22,True,5.7,True,True,False,13
False,2.97,True,34.9,True,True,True,6
True,9.61,True,78.7,False,False,False,2
False,1.29,True,51.8,True,True,False,9
True,0.8,False,99.2,False,False,True,6
False,0.37,True,29.4,False,True,True,15
True,8.37,False,75.4,False,False,False,15
True,9.93,False,37.4,True,False,False,2
True,7.14,False,59.2,False,False,False,2
False,0.61,True,4.6,True,True,False,5
False,8.65,False,27.5,False,True,False,2
True,7.28,True,35.4,True,True,False,1
False,1.08,True,34.9,False,True,True,17
False,1.39,True,30.6,False,True,True,13
True,2.67,True,85.6,False,False,False,2
False,8.05,True,7.8,True,True,True,20
False,0.06,False,13.7,False,True,False,1
False,7.64,False,73.0,True,True,True,2
True,8.46,False,52.4,False,False,True,1
True,7.31,True,35.4,False,False,True,6
False,1.1,True,58.6,True,True,False,14
False,1.74,True,35.0,True,True,True,14
True,9.34,False,97.3,False,False,False,2
True,9.0,False,7.8,False,False,False,2
False,1.18,True,28.4,True,True,False,3
False,1.14,False,0.3,True,True,True,4
