ghost_job,vagueness_score,salary_present,days_opened,hiring_manager_listed,post_on_website,hiring_timeline
False,1.44,True,27.2,True,True,True
False,0.32,True,0.8,True,True,True
False,0.38,True,70.2,False,True,True
True,2.54,False,14.9,False,False,False
False,0.31,True,4.0,True,True,True
False,2.12,True,29.5,True,True,True
True,2.05,False,56.0,False,False,False
True,8.16,False,87.9,False,False,False
False,8.91,False,19.5,False,True,True
False,1.83,False,9.7,True,True,True
False,9.7,True,24.9,True,True,True
True,10.0,True,0.7,False,False,False
True,2.89,True,44.9,False,False,False
True,7.56,False,69.8,False,False,False
True,2.61,False,56.8,False,False,True
True,2.92,False,36.6,False,False,True
True,9.39,False,30.5,False,False,True
False,8.19,True,23.9,True,True,True
True,8.72,False,47.4,False,False,True
True,8.74,False,8.4,False,False,False
False,0.76,True,32.2,False,True,False
False,8.67,True,14.7,True,True,True
True,1.33,False,29.9,False,False,False
False,1.52,True,15.8,False,True,True
True,9.33,False,36.3,False,False,False
False,1.99,True,10.4,True,False,True
True,7.27,False,55.7,False,True,False
False,2.48,True,25.5,False,True,True
False,2.33,False,1.0,False,False,True
False,0.48,True,35.0,True,True,True
True,8.24,False,47.3,False,False,False
True,8.63,False,87.3,False,True,True
True,7.99,False,38.0,True,False,True
False,3.0,True,11.2,False,True,True
True,8.19,False,69.4,False,False,False
True,2.49,False,4.0,False,True,False
False,9.4,False,31.5,False,True,True
True,8.96,False,55.6,False,True,False
True,7.35,False,35.1,False,False,True
False,1.29,False,19.5,True,True,True
False,9.89,True,14.2,False,True,True
True,0.18,False,4.8,False,True,False
True,2.02,False,62.9,False,True,True
True,7.7,False,89.8,False,False,True
True,8.62,True,35.0,True,False,False
False,7.67,True,3.6,True,True,True
False,0.83,True,8.1,True,True,True
True,2.81,False,88.6,True,True,False
True,1.52,False,33.7,False,False,False
True,9.48,False,14.7,False,False,False
True,9.76,False,60.1,False,False,False
True,2.13,False,31.1,True,False,True
True,9.5,False,96.4,False,True,False
False,2.18,True,5.3,True,False,True
True,0.74,False,75.5,True,True,False
True,9.72,False,23.7,False,False,True
True,7.98,False,85.1,False,False,False
False,2.44,False,79.4,True,True,True
False,2.73,True,74.9,True,True,False
True,8.03,False,13.7,True,True,False
False,2.54,True,34.8,True,True,True
False,2.92,True,9.8,True,True,True
False,0.34,True,12.8,True,True,True
False,0.44,False,11.7,False,True,True
False,2.9,True,60.2,True,True,False
False,0.34,True,10.4,True,True,True
False,9.34,True,18.4,False,True,True
True,7.36,False,20.1,False,False,False
True,8.34,False,91.8,False,True,False
False,0.47,True,19.6,True,True,True
True,8.44,False,20.1,False,True,False
False,0.82,False,95.1,False,True,True
True,7.35,False,95.4,False,False,False
True,8.22,True,28.7,False,True,False
True,7.28,True,64.8,True,False,True
False,1.79,True,27.7,True,True,False
True,1.28,False,35.2,False,False,True
False,2.44,True,7.0,True,True,False
True,7.99,False,78.7,False,False,False
True,8.84,True,61.9,True,False,False
False,0.38,True,27.7,True,False,True
True,2.52,False,89.2,False,False,True
True,7.21,True,69.3,False,False,False
False,0.6,True,47.9,True,True,True
False,0.58,True,10.5,True,True,True
False,9.91,True,27.7,True,True,True
False,8.23,True,36.9,False,False,True
True,9.21,False,74.1,True,True,True
False,2.72,False,22.0,False,True,True
False,2.23,True,41.7,False,True,True
True,7.28,True,77.5,False,True,False
True,7.79,False,54.3,False,False,False
False,2.28,True,13.8,False,False,True
False,0.78,True,93.3,True,True,False
True,8.41,False,41.9,False,False,True
True,9.55,True,79.4,False,False,True
False,0.71,True,31.4,True,True,False
True,8.13,False,54.7,True,False,False
True,0.64,False,80.2,False,True,False
True,1.53,False,60.8,False,False,False
False,1.37,True,23.9,True,True,True
True,9.36,False,92.3,False,False,False
True,9.33,False,41.2,True,True,False
False,8.37,True,18.3,False,True,True
True,8.02,False,44.9,False,True,False
False,7.34,False,11.4,True,True,True
True,9.38,True,91.3,False,False,False
False,1.56,True,53.6,True,True,True
True,2.38,False,66.3,False,True,False
True,2.47,True,82.7,False,True,False
False,0.85,True,8.6,True,True,False
False,1.72,True,28.6,True,True,True
False,2.64,True,28.2,True,True,True
True,7.08,False,59.7,False,False,False
False,7.61,True,66.2,True,True,True
False,0.68,True,69.1,True,True,True
True,1.98,False,53.5,False,False,False
True,8.53,True,73.1,False,False,False
False,7.11,True,84.9,True,True,True
True,7.03,False,88.6,False,False,False
True,8.38,False,89.2,False,False,True
True,9.39,False,70.6,False,False,False
False,2.09,True,17.9,True,True,False
False,2.86,True,50.9,False,True,True
True,8.75,True,74.1,False,False,False
True,8.67,True,60.2,True,False,True
False,2.13,True,58.0,True,True,True
False,1.52,False,16.7,True,True,True
True,9.43,False,34.1,False,False,False
True,8.3,False,93.5,False,False,False
False,2.18,False,15.2,True,True,True
True,9.95,True,45.8,True,False,False
False,1.88,True,79.4,True,False,False
False,9.55,True,10.2,False,False,True
False,2.26,True,21.5,False,True,True
True,7.88,False,47.4,False,False,False
True,8.84,False,71.6,False,False,False
False,1.3,True,25.7,False,True,True
True,0.29,False,48.2,True,False,False
False,2.07,True,10.5,True,True,True
False,1.71,False,75.7,True,True,True
True,9.05,False,50.9,False,False,False
False,0.68,True,9.9,False,True,True
True,7.09,False,35.9,False,False,False
True,8.94,True,34.0,True,False,False
False,8.82,True,9.1,True,True,True
False,1.58,True,40.1,True,True,True
True,0.81,True,15.2,False,False,False
True,7.41,False,85.1,False,False,True
False,0.99,True,38.7,True,True,True
True,8.68,False,63.0,False,False,True
False,9.17,True,28.0,False,False,False
False,0.8,True,89.2,True,True,True
False,2.46,True,46.0,True,True,True
True,7.48,False,44.4,False,True,False
False,8.54,False,1.1,True,True,True
True,7.34,True,26.4,False,False,True
False,2.16,True,14.4,False,True,True
False,1.39,True,0.8,True,True,True
False,9.71,True,16.9,True,True,True
False,0.41,True,25.7,True,True,False
False,0.13,True,76.7,True,True,True
True,1.44,False,27.7,True,True,False
False,0.81,True,13.6,False,True,True
False,2.48,False,85.5,True,True,True
True,9.95,False,61.4,False,True,False
True,8.34,False,42.2,False,True,True
False,0.17,True,23.2,True,True,True
True,7.77,False,8.3,False,False,True
True,2.39,False,78.5,True,False,False
False,1.31,True,32.0,True,True,True
False,2.43,True,10.7,True,True,True
False,2.82,False,17.1,False,True,False
False,0.41,True,22.9,True,True,True
True,7.87,True,47.1,False,False,False
True,8.82,False,57.4,False,False,False
True,9.2,False,67.1,False,False,False
True,7.99,True,97.1,True,False,False
False,2.29,True,14.6,True,True,True
False,1.17,True,10.9,False,False,True
False,2.68,True,13.6,True,True,True
False,0.03,True,25.4,True,False,True
True,1.12,True,97.5,False,False,True
